Long Lat Easting Northing Elev ObsGrav TheoreticalCorr AtmosphericCorr FreeAirCorr BougerCorr TerrCorr TCBougGrav TCBougAn
-111.579485 42.854442 452655.751130 4744813.886310 1852.408000 3189.096000 18.020776 0.863028 -34.335059 11.8941 0.576 3194.379251 -13.9417
-111.579485 42.854464 452655.763821 4744816.325017 1852.408000 3189.078000 18.022761 0.863028 -34.335059 11.8941 0.576 3194.359266 -13.9617
-111.579485 42.854486 452655.779293 4744818.764260 1852.408000 3189.061000 18.024746 0.863028 -34.335059 11.8941 0.576 3194.340281 -13.9807
-111.579485 42.854508 452655.797711 4744821.204038 1852.408000 3189.044000 18.026731 0.863028 -34.335059 11.8941 0.576 3194.321296 -13.9997
-111.579485 42.854530 452655.819400 4744823.644238 1852.408000 3189.028000 18.028716 0.863028 -34.335059 11.8941 0.576 3194.303311 -14.0177
-111.579485 42.854552 452655.844442 4744826.084971 1852.408000 3189.013000 18.030701 0.863028 -34.335059 11.8941 0.576 3194.286326 -14.0347
-111.579484 42.854574 452655.873000 4744828.526123 1852.408000 3188.997000 18.032686 0.863028 -34.335059 11.8941 0.576 3194.268341 -14.0527
-111.579484 42.854596 452655.905320 4744830.967693 1852.408000 3188.983000 18.034671 0.863028 -34.335058 11.8941 0.576 3194.252356 -14.0686
-111.579484 42.854618 452655.941401 4744833.409682 1852.408000 3188.969000 18.036656 0.863028 -34.335058 11.8941 0.576 3194.236371 -14.0846
-111.579484 42.854640 452655.981406 4744835.851977 1852.408000 3188.955000 18.038641 0.863028 -34.335058 11.8941 0.576 3194.220386 -14.1006
-111.579483 42.854662 452656.025416 4744838.294578 1852.408000 3188.942000 18.040626 0.863028 -34.335058 11.8941 0.576 3194.205401 -14.1156
-111.579483 42.854684 452656.073432 4744840.737484 1852.408000 3188.929000 18.042611 0.863028 -34.335058 11.8941 0.576 3194.190416 -14.1306
-111.579483 42.854706 452656.125455 4744843.180807 1852.408000 3188.917000 18.044596 0.863028 -34.335058 11.8941 0.576 3194.176431 -14.1446
-111.579482 42.854728 452656.181564 4744845.624324 1852.408000 3188.905000 18.046581 0.863028 -34.335058 11.8941 0.576 3194.162446 -14.1586
-111.579482 42.854750 452656.241760 4744848.068146 1852.408000 3188.894000 18.048566 0.863028 -34.335058 11.8941 0.576 3194.149461 -14.1715
